firecharm  - | pass:1/2/6
clover     - | secret:1.6/2.4/3  racks:1.5/2/2.8  grass:1.5/1.9/2.4  heals:0/1/2
boomerang  - | stun:1.2/1.8/2.4  cooldown:10/7/5  range:6/7.5/9  pierce:1/2/99
symbols    - | dist:3/4.5/6  cooldown:6/4/2.2  stun:0/0/0.9
mason      geo | splat:0.8/0.8/0.75  props:false/true/true  bodies:false/false/true
domino     geo | links:1/2/4  keep:0.7/0.7/0.7
echo       butt | delay:0.4/0.4/0.4  power:0.5/1/1  count:1/1/2  spread:0/0/0.26  reach:0.6/0.6/0.6
spade      geo | life:20/20/25  trip:0.6/0.6/0.6  grab:false/true/true  lethal:false/false/true  r:12/12/12  cap:6/6/6
grease     geo | life:15/15/20  r:1/1/1.3  drag:0.5/0.5/0.15  slip:0/0.3/0.3  grip:0.7/0.7/0.7
awl        geo | r:1/1.2/1.5  fling:0/8/12
mask       ai | r:4/4/5  flee:1/1.5/1.5  drop:false/true/true  blind:false/false/true  cd:4/4/4
effigy     q | life:4/4/6  r:6/6/7  cd:12/10/8  shots:false/true/true  oops:false/false/true
spur       run | time:0.5/0.5/0.5  keep:0/0.5/0.5  throw:1/1/1.6
moth       run | step:0.5/0.5/0.5  near:0/3/3  still:0/0/1.2  hide:4/4/4
bell       run | sil:0/6/9  mimic:false/false/true
sandal     run | speed:0.2/0.2/0.25  time:2.5/2.5/3  reset:false/true/true  shake:false/false/true  range:10/10/10
scapegoat  def | hearts:1/2/2  invuln:1.5/1.5/1.5  stun:0/0/1.5  r:5/5/5
tallow     def | rooms:5/4/3  soul:false/true/true
mirror     butt | window:0.18/0.2/0.25  club:false/true/true  heavy:false/false/true  throw:0.8/0.8/0.8  stun:0.8/0.8/1  runeR:6/6/6
cup        count | need:12/10/8  carry:false/false/true  max:2/2/2
tally      butt | every:4/3/3  stun:0/0/1  r:1/1/1  mul:2/2/2
